"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
106245,13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,75,NA,NA
106245,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3,NA,NA
106245,26,NA,NA,12,42,NA,NA,4,NA,NA,6,58,87,NA,NA
106245,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,16,NA,NA
106245,40,NA,NA,NA,7,NA,NA,3,NA,NA,2,32,14,NA,NA
106245,52,29,20,73,187,NA,NA,16,8,10,6,254,275,NA,4
106306,13,0,0,8,24,0,0,0,0,0,0,0,0,0,0
106306,52,0,0,26,22,0,0,0,0,0,0,0,0,0,0
106342,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA
106342,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
106342,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA
106342,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA
106397,13,1,0,20,41,7,8,0,3,0,3,119,494,2,10
106397,14,75,12,54,27,18,7,53,20,30,1,909,155,15,2
106397,26,6,9,11,26,3,6,11,13,4,6,174,205,2,2
106397,27,0,1,3,2,0,0,0,0,0,0,51,33,1,0
106397,40,4,3,3,5,2,1,3,2,0,0,130,80,5,4
106397,52,41,40,69,85,14,19,27,41,16,21,1108,727,11,10
106412,13,NA,NA,142,235,NA,NA,NA,NA,NA,NA,7,25,NA,NA
106412,26,NA,NA,64,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106412,27,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106412,40,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106412,52,12,NA,245,248,NA,NA,NA,NA,NA,NA,4,12,NA,NA
106458,13,4,6,77,108,0,1,0,5,3,5,334,944,1,3
106458,14,3,0,31,4,1,0,2,1,4,1,257,15,0,0
106458,26,3,0,14,39,1,0,3,2,0,2,150,218,3,3
106458,27,1,0,2,2,0,0,0,0,0,0,10,9,0,1
106458,40,1,1,3,8,0,2,0,2,0,0,77,114,1,0
106458,52,13,16,76,126,1,1,4,6,3,5,495,564,2,2
106467,13,0,2,24,19,8,9,1,8,5,14,303,636,0,0
106467,14,15,0,4,0,1,1,1,1,3,0,221,19,0,0
106467,26,0,3,5,0,1,2,1,1,0,4,66,110,0,0
106467,27,0,0,0,0,0,0,0,0,1,0,7,14,0,0
106467,40,0,0,1,1,2,1,0,1,1,0,62,67,0,0
106467,52,7,7,19,7,5,5,2,3,6,7,212,249,0,0
106485,13,NA,NA,37,54,NA,NA,NA,NA,NA,NA,60,161,NA,NA
106485,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA
106485,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
106485,40,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106485,52,NA,NA,60,95,NA,NA,NA,NA,NA,7,152,162,NA,NA
106704,13,1,1,31,61,4,2,0,2,2,2,131,419,5,15
106704,26,3,3,10,11,1,0,2,3,0,0,78,86,3,5
106704,27,2,3,3,2,1,2,0,1,0,0,30,28,0,1
106704,40,1,0,2,2,0,0,0,0,0,0,30,13,1,3
106704,52,44,17,87,116,7,7,5,7,9,4,488,383,9,6
106713,13,0,0,1,0,0,0,0,0,0,0,1,14,0,0
106713,52,0,1,6,6,0,0,3,0,1,0,38,36,NA,NA
107044,13,NA,NA,NA,6,2,4,NA,NA,NA,NA,101,449,NA,5
107044,14,10,NA,2,NA,NA,NA,NA,NA,NA,NA,43,1,NA,NA
107044,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,55,NA,NA
107044,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
107044,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
107044,52,27,NA,13,NA,NA,NA,NA,NA,NA,NA,314,238,NA,2
107071,13,1,2,21,39,2,4,1,0,0,5,117,270,0,1
107071,26,4,5,9,23,1,0,1,0,0,0,69,76,1,2
107071,27,1,0,1,1,0,0,0,0,0,1,18,18,0,0
107071,40,6,6,2,5,0,0,0,0,0,1,43,35,1,1
107071,52,22,13,31,40,1,3,1,2,2,2,175,157,0,1
107080,13,NA,NA,1,NA,NA,NA,NA,NA,NA,1,5,8,1,1
107080,26,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107080,27,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,1,2,1
107080,40,1,1,NA,NA,NA,NA,NA,1,NA,NA,24,16,3,NA
107080,52,NA,NA,NA,1,NA,1,NA,1,NA,NA,13,7,2,1
107141,13,0,4,0,1,0,1,0,0,1,0,15,127,0,0
107141,14,21,4,0,0,1,0,1,0,1,0,35,3,0,0
107141,26,3,5,0,1,0,0,0,2,1,3,18,28,0,0
107141,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0
107141,40,0,0,0,0,0,0,0,0,1,0,2,3,0,0
107141,52,20,19,8,11,3,8,6,1,7,3,223,237,0,0
107512,13,3,2,20,0,1,2,0,0,0,0,10,138,0,0
107512,26,0,0,1,3,0,0,0,0,0,0,45,4,0,0
107512,27,0,0,1,2,0,0,0,0,0,0,12,10,0,0
