"UNITID","CIPCODE","EFAIANM","EFAIANW","EFBKAAM","EFBKAAW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW","EFNRALM","EFNRALW","DVEFAIM","DVEFAIW"
101587,13,0,0,62,99,4,9,33,128,1,10,10,2,0,0
101587,26,2,0,14,31,3,2,36,46,3,2,1,1,0,0
101587,27,0,0,4,6,0,1,22,13,3,0,2,1,0,0
101587,40,0,0,2,9,1,0,4,4,0,0,0,0,0,0
101587,52,1,0,66,89,2,4,95,79,14,10,29,20,2,3
101675,13,0,0,36,67,0,0,4,2,0,0,0,0,0,0
101675,26,0,0,36,98,0,3,1,0,0,0,0,0,0,0
101675,27,0,0,4,5,0,0,0,0,0,0,0,0,0,0
101675,40,0,0,1,9,0,0,0,1,0,0,0,0,0,0
101675,52,0,0,156,107,0,0,10,0,0,0,0,0,0,0
101693,13,0,3,2,17,0,2,23,66,0,1,3,0,0,0
101693,26,0,1,1,6,0,0,9,20,1,0,0,5,0,0
101693,27,0,0,0,0,0,0,6,4,0,0,1,0,0,0
101693,52,3,0,17,24,3,2,54,53,1,1,16,8,0,1
101709,13,0,0,2,21,1,7,7,166,0,2,0,1,0,3
101709,26,1,0,4,22,6,6,21,51,2,2,0,3,1,3
101709,27,0,0,5,1,0,1,16,13,1,1,4,0,0,0
101709,40,0,0,2,4,3,3,12,19,1,1,0,0,0,0
101709,52,0,0,22,26,10,13,115,80,5,4,28,6,5,0
101879,13,0,4,21,32,3,12,144,478,2,4,0,2,1,1
101879,26,0,0,10,22,2,9,82,145,3,2,5,4,2,5
101879,27,0,0,4,1,1,1,27,30,0,0,1,0,3,0
101879,40,1,1,1,6,1,2,64,40,1,0,3,3,1,0
101879,52,6,2,74,54,11,11,364,328,10,8,39,54,2,4
101912,13,0,0,14,41,2,1,0,2,0,2,1,2,0,0
101912,26,0,0,76,154,2,3,0,0,3,3,5,14,1,1
101912,27,0,0,27,18,3,2,0,0,1,0,5,0,0,1
101912,40,0,0,5,6,0,0,0,0,0,1,0,0,0,0
101912,52,1,0,114,61,4,3,0,1,2,10,9,8,0,0
